Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 1634.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: BB , with_vote: 100, new_vote : 1059.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: SHOE , with_vote: 500, new_vote : 2800.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: BB , with_vote: 100, new_vote : 1159.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: SITA , with_vote: 200, new_vote : 1370.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 2292.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: DEDE , with_vote: 500, new_vote : 2198.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 2511.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: SHOE , with_vote: 200, new_vote : 3019.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: ETORNAM , with_vote: 100, new_vote : 1878.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: OLOBO , with_vote: 200, new_vote : 1459.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 2722.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: DEDE , with_vote: 200, new_vote : 2410.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: AKO , with_vote: 100, new_vote : 1400.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: OWUO , with_vote: 200, new_vote : 1503.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: OLOBO , with_vote: 500, new_vote : 1970.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: OWUO , with_vote: 200, new_vote : 1756.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: AMA BA , with_vote: 100, new_vote : 1273.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: SHOE , with_vote: 200, new_vote : 3249.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KASI , with_vote: 200, new_vote : 1329.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: AMA BA , with_vote: 50, new_vote : 1326.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KASI , with_vote: 200, new_vote : 1538.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: BB , with_vote: 50, new_vote : 1284.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: AKO , with_vote: 200, new_vote : 1607.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: MERCY , with_vote: 50, new_vote : 1651.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: GAZA , with_vote: 500, new_vote : 3864.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: PM , with_vote: 20, new_vote : 5143.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: PM , with_vote: 10, new_vote : 5162.<br/>
