Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: GAZA , with_vote: 1000, new_vote : 5300.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: MAAFIA , with_vote: 1000, new_vote : 8299.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: DEDE , with_vote: 20, new_vote : 1367.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: GAZA , with_vote: 1000, new_vote : 7596.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: SAPATO , with_vote: 1000, new_vote : 4336.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: BB , with_vote: 50, new_vote : 313.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: MAAFIA , with_vote: 1000, new_vote : 9326.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: MAAFIA , with_vote: 500, new_vote : 9830.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: AKO , with_vote: 50, new_vote : 610.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: DEDE , with_vote: 500, new_vote : 2372.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: DEDE , with_vote: 200, new_vote : 2572.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: DEDE , with_vote: 100, new_vote : 2672.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: DEDE , with_vote: 100, new_vote : 2772.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: BB , with_vote: 200, new_vote : 528.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: AKO , with_vote: 100, new_vote : 712.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: DEDE , with_vote: 100, new_vote : 2872.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: GAZA , with_vote: 100, new_vote : 7980.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: GAGA , with_vote: 100, new_vote : 11873.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: KASI , with_vote: 20, new_vote : 55.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: ANITA , with_vote: 2, new_vote : 3754.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: BB , with_vote: 100, new_vote : 638.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: BANASCO , with_vote: 200, new_vote : 4907.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: ANITA , with_vote: 100, new_vote : 3855.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: KATE , with_vote: 50, new_vote : 171.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: OLOBO , with_vote: 500, new_vote : 762.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: BANASCO , with_vote: 1000, new_vote : 5956.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: AKO , with_vote: 50, new_vote : 810.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: MAAME , with_vote: 100, new_vote : 2263.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: SAPATO , with_vote: 500, new_vote : 4995.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: OLOBO , with_vote: 500, new_vote : 1268.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: BB , with_vote: 200, new_vote : 857.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: GAZA , with_vote: 20, new_vote : 8210.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: EDINA , with_vote: 20, new_vote : 1898.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: EDINA , with_vote: 100, new_vote : 1998.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: DEDE , with_vote: 100, new_vote : 3066.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: DEDE , with_vote: 100, new_vote : 3166.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: PM , with_vote: 50, new_vote : 5961.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: AKO , with_vote: 200, new_vote : 1033.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: AKO , with_vote: 100, new_vote : 1135.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: SITA , with_vote: 1000, new_vote : 1649.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: AKO , with_vote: 200, new_vote : 1339.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: PM , with_vote: 10, new_vote : 6584.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: PM , with_vote: 10, new_vote : 6674.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 4399.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: DEDE , with_vote: 10, new_vote : 3217.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 4602.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: MAAME , with_vote: 10, new_vote : 2325.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 4804.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: DEDE , with_vote: 500, new_vote : 3738.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: OLOBO , with_vote: 500, new_vote : 1799.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: MAAFIA , with_vote: 20, new_vote : 12062.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: MAAFIA , with_vote: 10, new_vote : 12097.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: SAPATO , with_vote: 10, new_vote : 5496.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: ANITA , with_vote: 2, new_vote : 4832.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: SAPATO , with_vote: 500, new_vote : 6035.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: GAZA , with_vote: 100, new_vote : 9433.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: SAPATO , with_vote: 1000, new_vote : 7090.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 5040.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: GAZA , with_vote: 1000, new_vote : 10482.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 5240.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: SAPATO , with_vote: 200, new_vote : 7314.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: ANITA , with_vote: 100, new_vote : 5346.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: MAAME , with_vote: 50, new_vote : 2456.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: OWUO , with_vote: 10, new_vote : 2026.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: MAAFIA , with_vote: 500, new_vote : 12982.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: BB , with_vote: 200, new_vote : 1069.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: ANITA , with_vote: 50, new_vote : 5407.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: BANASCO , with_vote: 1000, new_vote : 7196.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: GAZA , with_vote: 1000, new_vote : 11594.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: ETORNAM , with_vote: 20, new_vote : 1016.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: BANASCO , with_vote: 2, new_vote : 7205.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: DEDE , with_vote: 200, new_vote : 4034.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: DEDE , with_vote: 200, new_vote : 4235.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: SAPATO , with_vote: 1000, new_vote : 8420.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: BANASCO , with_vote: 500, new_vote : 7731.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KASI , with_vote: 200, new_vote : 263.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: PM , with_vote: 10, new_vote : 9457.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: PM , with_vote: 2, new_vote : 9799.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: PM , with_vote: 10, new_vote : 10224.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: BANASCO , with_vote: 100, new_vote : 7893.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: BANASCO , with_vote: 50, new_vote : 7947.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: BANASCO , with_vote: 20, new_vote : 7971.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: MAAFIA , with_vote: 50, new_vote : 13741.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: MAAFIA , with_vote: 50, new_vote : 13847.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: BANASCO , with_vote: 50, new_vote : 8068.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: ANITA , with_vote: 20, new_vote : 5513.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 5717.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: PM , with_vote: 50, new_vote : 12177.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: PM , with_vote: 20, new_vote : 12228.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: MAAME , with_vote: 200, new_vote : 2695.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: KATE , with_vote: 2, new_vote : 620.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 6 , Contestant_Updated: SITA , with_vote: 10, new_vote : 1700.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: PM , with_vote: 20, new_vote : 12361.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: KATE , with_vote: 20, new_vote : 644.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: GAZA , with_vote: 1000, new_vote : 13511.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: KATE , with_vote: 10, new_vote : 658.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 6 , Contestant_Updated: SITA , with_vote: 10, new_vote : 1710.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: MAAFIA , with_vote: 100, new_vote : 14448.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: GAZA , with_vote: 200, new_vote : 13794.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: MAAME , with_vote: 100, new_vote : 2799.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KASI , with_vote: 200, new_vote : 467.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 12 , Contestant_Updated: SITA , with_vote: 20, new_vote : 1735.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: MAAME , with_vote: 50, new_vote : 2854.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: KASI , with_vote: 500, new_vote : 967.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: GAZA , with_vote: 200, new_vote : 14148.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: MERCY , with_vote: 500, new_vote : 1048.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: PM , with_vote: 10, new_vote : 13044.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ETORNAM , with_vote: 200, new_vote : 1507.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: ANITA , with_vote: 20, new_vote : 5780.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: MAAFIA , with_vote: 10, new_vote : 14719.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ETORNAM , with_vote: 200, new_vote : 1740.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: SUZZY , with_vote: 500, new_vote : 1525.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: PM , with_vote: 10, new_vote : 13280.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: SUZZY , with_vote: 200, new_vote : 1725.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: GAZA , with_vote: 10, new_vote : 14439.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: PM , with_vote: 10, new_vote : 13377.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: SUZZY , with_vote: 20, new_vote : 1746.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: OLOBO , with_vote: 500, new_vote : 2598.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: GAZA , with_vote: 20, new_vote : 14568.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: ANITA , with_vote: 20, new_vote : 5824.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: PM , with_vote: 20, new_vote : 13576.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: SHOE , with_vote: 10, new_vote : 520.<br/>
Description: The Tigo Cash payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: AKO , with_vote: 50, new_vote : 1522.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: MAAFIA , with_vote: 20, new_vote : 15132.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: PM , with_vote: 10, new_vote : 13863.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: AKO , with_vote: 100, new_vote : 1649.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: GAZA , with_vote: 1000, new_vote : 15831.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: AKO , with_vote: 100, new_vote : 1755.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: ANITA , with_vote: 10, new_vote : 5880.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: DEDE , with_vote: 10, new_vote : 4353.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: PM , with_vote: 20, new_vote : 14006.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: ANITA , with_vote: 2, new_vote : 5887.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 1.2 , Contestant_Updated: MAAFIA , with_vote: 2, new_vote : 15272.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: ANITA , with_vote: 2, new_vote : 5892.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: OLOBO , with_vote: 2, new_vote : 2637.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: ANITA , with_vote: 2, new_vote : 5898.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: PM , with_vote: 10, new_vote : 14197.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: OLOBO , with_vote: 2, new_vote : 2643.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: GAGA , with_vote: 2, new_vote : 14828.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: ANITA , with_vote: 2, new_vote : 5911.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: AKO , with_vote: 50, new_vote : 1838.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: GAGA , with_vote: 2, new_vote : 14839.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: MERCY , with_vote: 200, new_vote : 1363.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: SUZZY , with_vote: 10, new_vote : 1779.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: MAAME , with_vote: 200, new_vote : 3124.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: GAGA , with_vote: 20, new_vote : 14872.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: GAGA , with_vote: 2, new_vote : 14877.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: GAGA , with_vote: 10, new_vote : 14889.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 6 , Contestant_Updated: MAAME , with_vote: 10, new_vote : 3137.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 30 , Contestant_Updated: PM , with_vote: 50, new_vote : 15193.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: SITA , with_vote: 200, new_vote : 1990.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 1.2 , Contestant_Updated: PM , with_vote: 2, new_vote : 15318.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: SITA , with_vote: 200, new_vote : 2193.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 1.2 , Contestant_Updated: PM , with_vote: 2, new_vote : 15408.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 1.2 , Contestant_Updated: PM , with_vote: 2, new_vote : 15452.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 6 , Contestant_Updated: PM , with_vote: 10, new_vote : 15735.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: GAZA , with_vote: 10, new_vote : 16319.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: OWUO , with_vote: 1000, new_vote : 3581.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: OWUO , with_vote: 200, new_vote : 3791.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: DEDE , with_vote: 100, new_vote : 4522.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: DEDE , with_vote: 100, new_vote : 4623.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: SITA , with_vote: 20, new_vote : 2220.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: OWUO , with_vote: 200, new_vote : 4013.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 6 , Contestant_Updated: SITA , with_vote: 10, new_vote : 2230.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: DOREEN , with_vote: 1000, new_vote : 8781.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 60 , Contestant_Updated: PM , with_vote: 100, new_vote : 16509.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: MD , with_vote: 50, new_vote : 2730.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: PM , with_vote: 100, new_vote : 16662.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: GAGA , with_vote: 10, new_vote : 15011.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: AKO , with_vote: 100, new_vote : 1967.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: GAZA , with_vote: 20, new_vote : 16604.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: DEDE , with_vote: 50, new_vote : 4684.<br/>
